date,per,device,type,is_maintenance,month,season,day_of_year,days_since_last_maint
2024-04-01,89.9642444254717,A_1,small,1,4,1,92,0.0
2024-04-02,89.9642444254717,A_1,none,0,4,1,93,1.0
2024-04-03,89.9642444254717,A_1,none,0,4,1,94,2.0
2024-04-04,89.9642444254717,A_1,none,0,4,1,95,3.0
2024-04-05,97.7830550682122,A_1,none,0,4,1,96,4.0
2024-04-06,92.6559746281043,A_1,small,1,4,1,97,0.0
2024-04-07,91.1399303253411,A_1,none,0,4,1,98,1.0
2024-04-08,91.1399303253411,A_1,none,0,4,1,99,2.0
2024-04-09,91.1399303253411,A_1,none,0,4,1,100,3.0
2024-04-10,90.9979400197454,A_1,small,1,4,1,101,0.0
2024-04-11,91.4416461991439,A_1,none,0,4,1,102,1.0
2024-04-12,89.3937877750979,A_1,none,0,4,1,103,2.0
2024-04-13,87.8564225313932,A_1,small,1,4,1,104,0.0
2024-04-14,89.4119994133517,A_1,none,0,4,1,105,1.0
2024-04-15,89.193895995382,A_1,none,0,4,1,106,2.0
2024-04-16,88.5785466039044,A_1,small,1,4,1,107,0.0
2024-04-17,89.5677377691301,A_1,none,0,4,1,108,1.0
2024-04-18,89.4147585432192,A_1,none,0,4,1,109,2.0
2024-04-19,88.3733188779943,A_1,small,1,4,1,110,0.0
2024-04-20,86.4497564053981,A_1,none,0,4,1,111,1.0
2024-04-21,86.1339211680608,A_1,none,0,4,1,112,2.0
2024-04-22,87.4169847720932,A_1,none,0,4,1,113,3.0
2024-04-23,86.2859473610552,A_1,none,0,4,1,114,4.0
2024-04-24,83.8927185298099,A_1,small,1,4,1,115,0.0
2024-04-25,86.0580671462368,A_1,none,0,4,1,116,1.0
2024-04-26,85.2462342296154,A_1,none,0,4,1,117,2.0
2024-04-27,85.4213893328157,A_1,none,0,4,1,118,3.0
2024-04-28,86.0829333359923,A_1,none,0,4,1,119,4.0
2024-04-29,82.8386687005423,A_1,small,1,4,1,120,0.0
2024-04-30,85.5105273653632,A_1,none,0,4,1,121,1.0
2024-05-01,85.5105273653632,A_1,none,0,5,1,122,2.0
2024-05-02,85.5105273653632,A_1,none,0,5,1,123,3.0
2024-05-03,85.5105273653632,A_1,small,1,5,1,124,0.0
2024-05-04,85.5105273653632,A_1,none,0,5,1,125,1.0
2024-05-05,85.5105273653632,A_1,none,0,5,1,126,2.0
2024-05-06,85.5105273653632,A_1,none,0,5,1,127,3.0
2024-05-07,85.5105273653632,A_1,none,0,5,1,128,4.0
2024-05-08,85.5105273653632,A_1,small,1,5,1,129,0.0
2024-05-09,85.5105273653632,A_1,none,0,5,1,130,1.0
2024-05-10,85.5105273653632,A_1,none,0,5,1,131,2.0
2024-05-11,85.5105273653632,A_1,small,1,5,1,132,0.0
2024-05-12,85.5105273653632,A_1,none,0,5,1,133,1.0
2024-05-13,85.5105273653632,A_1,none,0,5,1,134,2.0
2024-05-14,85.5105273653632,A_1,none,0,5,1,135,3.0
2024-05-15,83.4958784596859,A_1,small,1,5,1,136,0.0
2024-05-16,84.9692801610737,A_1,none,0,5,1,137,1.0
2024-05-17,82.5957376809515,A_1,none,0,5,1,138,2.0
2024-05-18,105.544363928726,A_1,medium,1,5,1,139,0.0
2024-05-19,105.544363928726,A_1,none,0,5,1,140,1.0
2024-05-20,105.544363928726,A_1,none,0,5,1,141,2.0
2024-05-21,105.023913413502,A_1,small,1,5,1,142,0.0
2024-05-22,105.560006641488,A_1,none,0,5,1,143,1.0
2024-05-23,104.70396092461,A_1,none,0,5,1,144,2.0
2024-05-24,105.569594842638,A_1,none,0,5,1,145,3.0
2024-05-25,101.218641165091,A_1,none,0,5,1,146,4.0
2024-05-26,104.016486242443,A_1,small,1,5,1,147,0.0
2024-05-27,103.17086842068,A_1,none,0,5,1,148,1.0
2024-05-28,103.929129469771,A_1,none,0,5,1,149,2.0
2024-05-29,103.965059380255,A_1,none,0,5,1,150,3.0
2024-05-30,104.224840691935,A_1,small,1,5,1,151,0.0
2024-05-31,103.031790718276,A_1,none,0,5,1,152,1.0
2024-06-01,103.704767036235,A_1,none,0,6,2,153,2.0
2024-06-02,103.704767036235,A_1,none,0,6,2,154,3.0
2024-06-03,103.704767036235,A_1,none,0,6,2,155,4.0
2024-06-04,99.3939474351884,A_1,small,1,6,2,156,0.0
2024-06-05,108.339386257043,A_1,none,0,6,2,157,1.0
2024-06-06,105.748599571662,A_1,none,0,6,2,158,2.0
2024-06-07,100.797749090309,A_1,none,0,6,2,159,3.0
2024-06-08,107.95259753316,A_1,none,0,6,2,160,4.0
2024-06-09,101.459543744287,A_1,small,1,6,2,161,0.0
2024-06-10,103.755259805553,A_1,none,0,6,2,162,1.0
2024-06-11,97.9156833255688,A_1,none,0,6,2,163,2.0
2024-06-12,124.80398913881,A_1,none,0,6,2,164,3.0
2024-06-13,96.280617004022,A_1,small,1,6,2,165,0.0
2024-06-14,104.654607372806,A_1,none,0,6,2,166,1.0
2024-06-15,106.189562445286,A_1,none,0,6,2,167,2.0
2024-06-16,103.407212643072,A_1,small,1,6,2,168,0.0
2024-06-17,104.546399832702,A_1,none,0,6,2,169,1.0
2024-06-18,98.6617462842292,A_1,none,0,6,2,170,2.0
2024-06-19,92.8583760564694,A_1,small,1,6,2,171,0.0
2024-06-20,103.231142464966,A_1,none,0,6,2,172,1.0
2024-06-21,100.714963826141,A_1,none,0,6,2,173,2.0
2024-06-22,100.721339716145,A_1,none,0,6,2,174,3.0
2024-06-23,94.4861613443564,A_1,small,1,6,2,175,0.0
2024-06-24,106.173164689608,A_1,none,0,6,2,176,1.0
2024-06-25,97.9636223613867,A_1,none,0,6,2,177,2.0
2024-06-26,98.2110894099543,A_1,small,1,6,2,178,0.0
2024-06-27,99.572326829388,A_1,none,0,6,2,179,1.0
2024-06-28,104.477354359738,A_1,none,0,6,2,180,2.0
2024-06-29,105.026599206882,A_1,none,0,6,2,181,3.0
2024-06-30,104.958616883501,A_1,small,1,6,2,182,0.0
2024-07-01,101.212251934219,A_1,none,0,7,2,183,1.0
2024-07-02,101.479202329225,A_1,none,0,7,2,184,2.0
2024-07-03,105.235261413633,A_1,none,0,7,2,185,3.0
2024-07-04,98.5991750566755,A_1,small,1,7,2,186,0.0
2024-07-05,94.7274263609804,A_1,none,0,7,2,187,1.0
2024-07-06,104.914042524115,A_1,none,0,7,2,188,2.0
2024-07-07,100.813225215474,A_1,none,0,7,2,189,3.0
2024-07-08,100.813225215474,A_1,none,0,7,2,190,4.0
2024-07-09,94.0393440233596,A_1,small,1,7,2,191,0.0
2024-07-10,95.46118160916,A_1,none,0,7,2,192,1.0
2024-07-11,97.5769887016061,A_1,none,0,7,2,193,2.0
2024-07-12,100.866171243242,A_1,none,0,7,2,194,3.0
2024-07-13,97.983586673091,A_1,small,1,7,2,195,0.0
2024-07-14,104.495887490292,A_1,none,0,7,2,196,1.0
2024-07-15,99.7108739848567,A_1,none,0,7,2,197,2.0
2024-07-16,99.1813804237943,A_1,none,0,7,2,198,3.0
2024-07-17,98.3641373563654,A_1,none,0,7,2,199,4.0
2024-07-18,103.254067300087,A_1,small,1,7,2,200,0.0
2024-07-19,92.1422511387486,A_1,medium,1,7,2,201,0.0
2024-07-20,112.754343611425,A_1,none,0,7,2,202,1.0
2024-07-21,112.754343611425,A_1,small,1,7,2,203,0.0
2024-07-22,113.134127334393,A_1,none,0,7,2,204,1.0
2024-07-23,111.806556209973,A_1,none,0,7,2,205,2.0
2024-07-24,111.006200234079,A_1,small,1,7,2,206,0.0
2024-07-25,114.164983035799,A_1,none,0,7,2,207,1.0
2024-07-26,109.666090550111,A_1,none,0,7,2,208,2.0
2024-07-27,107.816895789368,A_1,small,1,7,2,209,0.0
2024-07-28,111.174875871509,A_1,none,0,7,2,210,1.0
2024-07-29,107.277374314266,A_1,none,0,7,2,211,2.0
2024-07-30,117.096894243686,A_1,small,1,7,2,212,0.0
2024-07-31,108.748228871753,A_1,none,0,7,2,213,1.0
2024-08-01,108.655662163985,A_1,none,0,8,2,214,2.0
2024-08-02,115.388416668211,A_1,none,0,8,2,215,3.0
2024-08-03,108.853149393236,A_1,none,0,8,2,216,4.0
2024-08-04,107.801244689353,A_1,small,1,8,2,217,0.0
2024-08-05,110.526852556444,A_1,none,0,8,2,218,1.0
2024-08-06,107.638391145115,A_1,none,0,8,2,219,2.0
2024-08-07,110.69308200281,A_1,small,1,8,2,220,0.0
